,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
11,2023-05-31 00:00:00,3779,3787.0984,3748.0093,3742.4836,3783.4272
12,2023-05-31 01:00:00,3580,3618.915,3540.6816,3549.7246,3596.8477
13,2023-05-31 02:00:00,3388,3454.7314,3352.5012,3379.8835,3419.7268
14,2023-05-31 03:00:00,3225,3299.6404,3200.1846,3226.8455,3265.2502
15,2023-05-31 04:00:00,3069,3160.2217,3081.054,3095.0723,3130.8645
16,2023-05-31 05:00:00,2963,3046.0322,2966.3247,2991.3577,3023.1575
17,2023-05-31 06:00:00,2827,2916.102,2817.1882,2871.0276,2903.7986
18,2023-05-31 07:00:00,2764,2850.349,2813.2122,2841.892,2834.2888
19,2023-05-31 08:00:00,2913,2966.5762,2973.2397,2991.8677,2960.2253
20,2023-05-31 09:00:00,3117,3136.427,3127.2788,3151.0532,3136.4482
21,2023-05-31 10:00:00,3273,3282.465,3250.1624,3279.8286,3270.6987
22,2023-05-31 11:00:00,3402,3409.2524,3366.5881,3394.4866,3386.4243
23,2023-05-31 12:00:00,3535,3547.797,3511.3992,3522.9065,3511.1514
24,2023-05-31 13:00:00,3644,3737.6064,3701.5828,3688.6707,3672.3777
25,2023-05-31 14:00:00,3846,3971.2124,3912.8018,3884.0935,3883.6804
26,2023-05-31 15:00:00,4011,4155.4683,4077.1782,4057.2786,4063.2988
27,2023-05-31 16:00:00,4159,4231.816,4129.596,4131.372,4144.734
28,2023-05-31 17:00:00,4157,4202.501,4060.789,4089.789,4121.7036
29,2023-05-31 18:00:00,4004,4058.231,3888.141,3950.841,3974.8086
30,2023-05-31 19:00:00,3764,3826.4534,3710.7805,3758.9946,3788.7947
31,2023-05-31 20:00:00,3730,3790.1597,3805.227,3725.5356,3783.3435
32,2023-05-31 21:00:00,3830,3919.9958,3959.4941,3870.448,3924.2737
33,2023-05-31 22:00:00,3878,3992.0232,3999.3638,3918.2058,3985.3125
34,2023-05-31 23:00:00,3832,3941.7512,3904.392,3846.3826,3918.1208
