,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
4,2023-05-31 00:00:00,3779,3804.9314,3801.9111,3737.5393,3737.8564
5,2023-05-31 01:00:00,3580,3635.4988,3593.7322,3544.9714,3547.628
6,2023-05-31 02:00:00,3388,3475.3906,3398.4744,3376.1726,3376.0493
7,2023-05-31 03:00:00,3225,3329.8188,3236.2427,3221.5059,3228.735
8,2023-05-31 04:00:00,3069,3197.4695,3108.5425,3086.9736,3101.1453
9,2023-05-31 05:00:00,2963,3085.5908,2993.1052,2986.213,2998.691
10,2023-05-31 06:00:00,2827,2964.8916,2846.0393,2880.3691,2867.94
11,2023-05-31 07:00:00,2764,2862.113,2825.4727,2825.2,2830.038
12,2023-05-31 08:00:00,2913,2954.0703,2973.4429,2961.0994,2980.691
13,2023-05-31 09:00:00,3117,3129.6277,3121.7354,3125.3857,3155.801
14,2023-05-31 10:00:00,3273,3275.9626,3244.5857,3257.5325,3288.0422
15,2023-05-31 11:00:00,3402,3392.0898,3367.027,3372.6318,3406.3586
16,2023-05-31 12:00:00,3535,3515.2534,3519.7234,3499.5732,3537.0574
17,2023-05-31 13:00:00,3644,3688.2898,3713.4663,3664.342,3707.8394
18,2023-05-31 14:00:00,3846,3909.116,3923.617,3863.0073,3920.456
19,2023-05-31 15:00:00,4011,4086.0535,4090.706,4045.7173,4083.7288
20,2023-05-31 16:00:00,4159,4163.0566,4155.0923,4132.1294,4145.881
21,2023-05-31 17:00:00,4157,4142.92,4104.4434,4100.0747,4101.4287
22,2023-05-31 18:00:00,4004,4016.447,3953.038,3968.926,3936.4517
23,2023-05-31 19:00:00,3764,3795.5166,3764.7832,3775.3828,3762.9587
24,2023-05-31 20:00:00,3730,3739.0781,3791.9346,3716.856,3807.8286
25,2023-05-31 21:00:00,3830,3886.2244,3934.5466,3852.5579,3942.996
26,2023-05-31 22:00:00,3878,3980.861,3980.4602,3905.334,3979.6584
27,2023-05-31 23:00:00,3832,3940.369,3900.8513,3844.3481,3893.6204
