,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
2,2023-07-18 00:00:00,5297,5029.3403,5265.7144,5056.912,5110.323
3,2023-07-18 01:00:00,5115,4828.9453,5071.158,4913.9907,4933.894
4,2023-07-18 02:00:00,4953,4639.7817,4885.961,4775.9263,4759.3433
5,2023-07-18 03:00:00,4789,4464.9746,4713.55,4638.28,4589.939
6,2023-07-18 04:00:00,4643,4316.6367,4554.804,4514.983,4434.281
7,2023-07-18 05:00:00,4512,4211.323,4406.959,4394.454,4311.2505
8,2023-07-18 06:00:00,4349,4088.153,4231.5093,4226.2334,4190.027
9,2023-07-18 07:00:00,4204,3966.057,4037.4844,4135.131,4025.5662
10,2023-07-18 08:00:00,4302,4071.173,4070.696,4276.8687,4071.8079
11,2023-07-18 09:00:00,4511,4294.2573,4243.9956,4472.049,4272.7236
12,2023-07-18 10:00:00,4675,4504.2905,4409.7793,4649.996,4455.873
13,2023-07-18 11:00:00,4867,4705.66,4573.175,4828.905,4622.407
14,2023-07-18 12:00:00,5073,4926.97,4763.762,5024.629,4814.3135
15,2023-07-18 13:00:00,5285,5186.1675,4987.6514,5240.688,5058.345
16,2023-07-18 14:00:00,5536,5415.2476,5209.6626,5460.3657,5329.222
17,2023-07-18 15:00:00,5727,5525.1416,5375.0796,5623.388,5520.589
18,2023-07-18 16:00:00,5822,5526.2554,5448.872,5669.0757,5585.7866
19,2023-07-18 17:00:00,5794,5447.127,5420.1,5586.7715,5540.492
20,2023-07-18 18:00:00,5622,5307.5386,5287.255,5422.41,5368.385
21,2023-07-18 19:00:00,5368,5131.249,5084.659,5211.469,5146.62
22,2023-07-18 20:00:00,5327,5079.167,4945.5117,5176.43,5147.139
23,2023-07-18 21:00:00,5468,5150.86,5008.0884,5218.517,5310.413
24,2023-07-18 22:00:00,5511,5141.7456,5105.793,5151.58,5335.077
25,2023-07-18 23:00:00,5463,5013.0806,5091.8457,4990.447,5236.532
