,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
2,2023-01-20 00:00:00,2189,2218.0283,2202.2544,2208.578,2202.9602
3,2023-01-20 01:00:00,2090,2137.736,2126.7378,2121.1614,2120.35
4,2023-01-20 02:00:00,2039,2075.7664,2069.9968,2057.8943,2057.931
5,2023-01-20 03:00:00,2009,2033.8931,2032.8055,2013.939,2014.7157
6,2023-01-20 04:00:00,1977,2014.1826,2019.8698,1986.6886,1992.0813
7,2023-01-20 05:00:00,1997,2031.0352,2036.9899,1989.6946,2000.1229
8,2023-01-20 06:00:00,2063,2081.9688,2081.424,2029.6501,2047.5896
9,2023-01-20 07:00:00,2131,2120.8616,2135.9822,2088.3708,2102.1475
10,2023-01-20 08:00:00,2175,2178.0264,2188.6497,2150.4092,2158.675
11,2023-01-20 09:00:00,2230,2253.5107,2243.645,2216.383,2237.1292
12,2023-01-20 10:00:00,2270,2303.9944,2292.1943,2274.7454,2283.5947
13,2023-01-20 11:00:00,2259,2333.1594,2323.9937,2313.6128,2311.0918
14,2023-01-20 12:00:00,2275,2346.579,2339.9668,2334.3318,2325.7861
15,2023-01-20 13:00:00,2272,2351.311,2346.3584,2342.777,2330.5425
16,2023-01-20 14:00:00,2280,2358.7214,2350.3958,2346.626,2333.4329
17,2023-01-20 15:00:00,2315,2371.221,2354.5994,2350.9954,2342.5674
18,2023-01-20 16:00:00,2341,2378.1858,2353.634,2350.876,2352.5352
19,2023-01-20 17:00:00,2336,2372.1038,2344.4011,2337.5024,2342.3599
20,2023-01-20 18:00:00,2329,2396.771,2377.4875,2349.9255,2350.2212
21,2023-01-20 19:00:00,2435,2478.434,2472.3997,2429.57,2457.1848
22,2023-01-20 20:00:00,2431,2465.239,2454.0618,2426.042,2460.9116
23,2023-01-20 21:00:00,2423,2436.3743,2417.0999,2388.1475,2418.998
24,2023-01-20 22:00:00,2381,2372.0698,2348.1672,2327.101,2352.1846
25,2023-01-20 23:00:00,2290,2290.3706,2257.9487,2241.8577,2264.133
