,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
6,2023-03-23 00:00:00,2540,2550.8044,2506.3755,2509.1257,2516.3865
7,2023-03-23 01:00:00,2429,2452.0837,2404.9824,2407.6702,2419.9055
8,2023-03-23 02:00:00,2342,2369.701,2321.47,2330.5833,2341.6875
9,2023-03-23 03:00:00,2267,2305.209,2257.6675,2274.4177,2283.0286
10,2023-03-23 04:00:00,2213,2263.657,2221.094,2237.7258,2247.395
11,2023-03-23 05:00:00,2213,2253.6724,2223.4492,2231.7698,2247.9636
12,2023-03-23 06:00:00,2249,2270.9849,2255.3965,2259.3616,2265.548
13,2023-03-23 07:00:00,2278,2288.808,2292.7722,2292.1492,2275.1362
14,2023-03-23 08:00:00,2369,2364.9392,2366.0593,2370.3005,2369.356
15,2023-03-23 09:00:00,2536,2475.9966,2460.912,2462.4265,2460.848
16,2023-03-23 10:00:00,2585,2565.556,2532.138,2523.6245,2520.5955
17,2023-03-23 11:00:00,2639,2637.0042,2579.9504,2565.3923,2567.775
18,2023-03-23 12:00:00,2676,2694.0764,2612.8608,2597.0125,2600.2266
19,2023-03-23 13:00:00,2690,2740.5835,2638.6167,2629.3325,2622.8848
20,2023-03-23 14:00:00,2730,2786.7107,2664.7866,2668.5037,2648.8452
21,2023-03-23 15:00:00,2793,2841.8672,2692.3926,2710.0679,2682.9812
22,2023-03-23 16:00:00,2821,2879.7832,2704.5115,2728.567,2699.768
23,2023-03-23 17:00:00,2850,2864.4758,2678.6646,2698.961,2668.8484
24,2023-03-23 18:00:00,2769,2798.8188,2625.5874,2637.4722,2604.0835
25,2023-03-23 19:00:00,2693,2734.1553,2630.5896,2649.7341,2642.1428
26,2023-03-23 20:00:00,2743,2791.9717,2680.7417,2705.2324,2687.271
27,2023-03-23 21:00:00,2726,2781.522,2649.6104,2678.7913,2664.7805
28,2023-03-23 22:00:00,2674,2745.0654,2588.0017,2617.1267,2607.5442
29,2023-03-23 23:00:00,2565,2671.1511,2497.0642,2525.848,2515.136
