,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
11,2022-10-13 00:00:00,3561,3568.424,3612.608,3610.496,3571.6912
12,2022-10-13 01:00:00,3385,3398.284,3463.7344,3446.843,3418.0913
13,2022-10-13 02:00:00,3238,3234.4763,3318.8992,3298.3289,3271.3325
14,2022-10-13 03:00:00,3079,3083.7551,3188.109,3165.5598,3134.4497
15,2022-10-13 04:00:00,2949,2957.1907,3080.5225,3046.0117,3023.7961
16,2022-10-13 05:00:00,2868,2872.6553,2995.6775,2965.368,2943.4006
17,2022-10-13 06:00:00,2802,2820.2454,2902.465,2902.417,2879.8394
18,2022-10-13 07:00:00,2727,2757.6938,2833.7617,2811.549,2798.1187
19,2022-10-13 08:00:00,2800,2799.2437,2928.882,2866.2527,2848.513
20,2022-10-13 09:00:00,2981,2956.5117,3100.2693,3038.1692,3015.4429
21,2022-10-13 10:00:00,3122,3106.8372,3256.0952,3192.0725,3171.9612
22,2022-10-13 11:00:00,3271,3236.374,3395.9258,3325.8892,3309.346
23,2022-10-13 12:00:00,3421,3367.7341,3540.8855,3464.7603,3441.1787
24,2022-10-13 13:00:00,3599,3521.0688,3717.4907,3634.1062,3592.9473
25,2022-10-13 14:00:00,3838,3711.683,3912.7764,3833.6912,3772.7532
26,2022-10-13 15:00:00,3980,3880.8052,4050.0242,3992.6514,3923.6643
27,2022-10-13 16:00:00,4039,3933.2117,4072.6199,4030.9775,3975.905
28,2022-10-13 17:00:00,3975,3867.0212,3977.4558,3943.2761,3910.754
29,2022-10-13 18:00:00,3856,3766.4934,3869.8374,3822.5708,3768.9624
30,2022-10-13 19:00:00,3901,3812.2097,3941.5918,3876.3037,3779.4124
31,2022-10-13 20:00:00,3996,3836.1995,3996.5854,3941.5398,3856.4858
32,2022-10-13 21:00:00,4044,3846.2156,4029.3071,3971.6196,3890.8538
33,2022-10-13 22:00:00,4001,3793.8384,3976.1724,3935.4329,3858.1157
34,2022-10-13 23:00:00,3869,3681.1765,3866.5552,3829.4104,3764.3547
