,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
10,2023-03-17 00:00:00,2462,2423.2002,2438.4531,2417.7407,2428.1575
11,2023-03-17 01:00:00,2346,2331.7278,2343.9565,2327.5105,2337.8062
12,2023-03-17 02:00:00,2256,2256.9136,2265.2803,2255.8025,2264.292
13,2023-03-17 03:00:00,2221,2199.7456,2203.9504,2203.5327,2208.5918
14,2023-03-17 04:00:00,2179,2165.1423,2166.3643,2168.5972,2175.138
15,2023-03-17 05:00:00,2175,2160.0298,2164.468,2161.4226,2175.9414
16,2023-03-17 06:00:00,2208,2181.8557,2193.3838,2186.044,2201.245
17,2023-03-17 07:00:00,2233,2205.716,2225.589,2211.6838,2217.5706
18,2023-03-17 08:00:00,2293,2277.2278,2289.007,2283.8293,2297.7688
19,2023-03-17 09:00:00,2423,2379.4673,2388.2769,2383.7922,2396.6343
20,2023-03-17 10:00:00,2500,2461.8364,2468.3848,2458.0,2466.0422
21,2023-03-17 11:00:00,2524,2525.3262,2523.7395,2514.0598,2522.207
22,2023-03-17 12:00:00,2589,2572.5227,2563.0015,2552.9902,2561.2415
23,2023-03-17 13:00:00,2603,2605.7896,2593.1133,2579.8892,2585.6816
24,2023-03-17 14:00:00,2633,2632.6443,2620.3606,2602.501,2605.992
25,2023-03-17 15:00:00,2669,2663.2463,2645.6301,2623.4902,2627.3008
26,2023-03-17 16:00:00,2674,2682.4458,2654.4927,2628.5032,2637.3657
27,2023-03-17 17:00:00,2652,2660.4802,2626.6345,2595.8784,2613.147
28,2023-03-17 18:00:00,2633,2596.6733,2573.8843,2534.1724,2553.4233
29,2023-03-17 19:00:00,2604,2568.3826,2589.379,2538.2234,2568.7837
30,2023-03-17 20:00:00,2631,2628.2856,2629.9966,2591.8818,2607.2695
31,2023-03-17 21:00:00,2601,2601.3562,2591.8752,2558.8066,2571.9414
32,2023-03-17 22:00:00,2549,2555.393,2536.6936,2506.7046,2515.2236
33,2023-03-17 23:00:00,2452,2478.9277,2454.6328,2429.127,2435.9277
