,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
6,2023-03-17 00:00:00,2462,2430.5054,2434.4116,2417.253,2417.1355
7,2023-03-17 01:00:00,2346,2338.0186,2340.2517,2324.977,2327.8875
8,2023-03-17 02:00:00,2256,2263.1682,2263.3877,2252.5647,2256.972
9,2023-03-17 03:00:00,2221,2206.33,2204.8167,2199.7898,2204.1526
10,2023-03-17 04:00:00,2179,2171.4802,2169.63,2165.8213,2173.8464
11,2023-03-17 05:00:00,2175,2166.092,2168.426,2161.4517,2176.9084
12,2023-03-17 06:00:00,2208,2187.4912,2196.247,2187.0708,2203.1086
13,2023-03-17 07:00:00,2233,2208.932,2227.889,2210.486,2219.9622
14,2023-03-17 08:00:00,2293,2279.768,2291.66,2284.105,2306.9746
15,2023-03-17 09:00:00,2423,2383.6523,2389.0176,2384.5776,2406.6648
16,2023-03-17 10:00:00,2500,2467.7876,2467.402,2459.4666,2476.379
17,2023-03-17 11:00:00,2524,2533.1165,2521.838,2516.0916,2532.2678
18,2023-03-17 12:00:00,2589,2582.0554,2560.3816,2555.4934,2570.2168
19,2023-03-17 13:00:00,2603,2617.1797,2589.8367,2583.0793,2593.448
20,2023-03-17 14:00:00,2633,2645.4849,2616.6157,2606.2595,2612.6792
21,2023-03-17 15:00:00,2669,2676.0706,2641.8538,2627.2915,2632.3225
22,2023-03-17 16:00:00,2674,2694.9324,2651.2869,2631.714,2639.7202
23,2023-03-17 17:00:00,2652,2672.5894,2624.395,2598.5813,2612.2754
24,2023-03-17 18:00:00,2633,2609.4443,2571.463,2537.8425,2553.435
25,2023-03-17 19:00:00,2604,2572.0195,2582.147,2545.9338,2582.175
26,2023-03-17 20:00:00,2631,2628.077,2629.7468,2594.3125,2608.1707
27,2023-03-17 21:00:00,2601,2599.5066,2595.1008,2558.7334,2569.844
28,2023-03-17 22:00:00,2549,2556.1929,2539.7222,2505.2046,2509.9758
29,2023-03-17 23:00:00,2452,2482.1528,2456.7253,2426.5405,2429.0105
