,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
6,2023-01-26 00:00:00,2274,2277.569,2275.2415,2232.0286,2275.7078
7,2023-01-26 01:00:00,2168,2191.6758,2197.7168,2150.762,2190.519
8,2023-01-26 02:00:00,2109,2128.9463,2137.2375,2092.415,2127.4656
9,2023-01-26 03:00:00,2082,2087.124,2096.2222,2047.5634,2081.5408
10,2023-01-26 04:00:00,2054,2064.1875,2078.764,2019.9144,2057.518
11,2023-01-26 05:00:00,2076,2071.1003,2091.333,2028.9962,2066.3616
12,2023-01-26 06:00:00,2132,2120.0957,2132.4563,2073.329,2119.3032
13,2023-01-26 07:00:00,2221,2180.8308,2185.1501,2130.1921,2177.9048
14,2023-01-26 08:00:00,2263,2241.2236,2237.2046,2191.9248,2233.682
15,2023-01-26 09:00:00,2363,2306.11,2293.9172,2259.5251,2309.4958
16,2023-01-26 10:00:00,2366,2355.3306,2345.3633,2317.1025,2353.9824
17,2023-01-26 11:00:00,2388,2385.3752,2379.765,2355.1682,2382.4133
18,2023-01-26 12:00:00,2387,2400.3496,2398.6567,2376.699,2398.771
19,2023-01-26 13:00:00,2367,2406.4822,2409.7896,2388.2017,2405.464
20,2023-01-26 14:00:00,2397,2414.1604,2421.1208,2397.821,2412.4807
21,2023-01-26 15:00:00,2398,2428.5508,2433.568,2409.8284,2427.8599
22,2023-01-26 16:00:00,2445,2440.2793,2437.8025,2415.977,2443.4426
23,2023-01-26 17:00:00,2444,2438.6565,2424.9849,2405.0615,2435.2476
24,2023-01-26 18:00:00,2456,2464.1506,2442.8801,2421.722,2434.2942
25,2023-01-26 19:00:00,2575,2552.0508,2547.3445,2498.5698,2541.5967
26,2023-01-26 20:00:00,2575,2559.0403,2534.2039,2491.804,2554.4993
27,2023-01-26 21:00:00,2558,2539.9407,2503.7507,2459.5073,2514.176
28,2023-01-26 22:00:00,2515,2468.0933,2433.7432,2395.6375,2445.7197
29,2023-01-26 23:00:00,2381,2370.509,2337.1565,2302.4949,2356.1921
