,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
5,2022-09-17 00:00:00,4062,2551.4275,4081.0774,4167.411,4071.9124
6,2022-09-17 01:00:00,3908,2448.0913,3907.5728,4029.0835,3903.0488
7,2022-09-17 02:00:00,3752,2359.494,3743.3772,3878.1482,3751.9578
8,2022-09-17 03:00:00,3614,2290.8452,3592.507,3722.272,3615.6895
9,2022-09-17 04:00:00,3495,2242.2153,3459.2205,3590.223,3485.7493
10,2022-09-17 05:00:00,3393,2208.7637,3346.5757,3487.433,3375.6453
11,2022-09-17 06:00:00,3288,2172.517,3233.0222,3342.3452,3265.4968
12,2022-09-17 07:00:00,3151,2158.3938,3101.8188,3253.6077,3123.2134
13,2022-09-17 08:00:00,3218,2205.7935,3108.986,3355.0571,3153.1414
14,2022-09-17 09:00:00,3371,2275.687,3269.586,3503.6895,3292.3425
15,2022-09-17 10:00:00,3529,2335.6147,3434.8474,3647.4316,3439.3518
16,2022-09-17 11:00:00,3698,2387.7876,3571.9402,3790.3762,3577.4058
17,2022-09-17 12:00:00,3898,2434.5718,3705.3733,3940.6865,3720.801
18,2022-09-17 13:00:00,4091,2478.2693,3857.9363,4106.149,3886.467
19,2022-09-17 14:00:00,4279,2520.6287,4025.763,4282.4966,4059.159
20,2022-09-17 15:00:00,4436,2560.1277,4164.57,4409.714,4199.819
21,2022-09-17 16:00:00,4524,2584.2693,4219.5947,4437.2812,4266.7954
22,2022-09-17 17:00:00,4505,2573.1768,4162.3276,4355.1045,4226.3457
23,2022-09-17 18:00:00,4382,2526.4849,4029.7126,4201.1533,4093.149
24,2022-09-17 19:00:00,4274,2489.926,3990.4495,4221.6875,4027.8916
25,2022-09-17 20:00:00,4310,2588.6226,4083.2437,4306.3784,4116.446
26,2022-09-17 21:00:00,4290,2619.2637,4120.937,4324.355,4154.1167
27,2022-09-17 22:00:00,4224,2611.5432,4108.947,4276.5454,4121.9746
28,2022-09-17 23:00:00,4134,2554.9312,4033.279,4178.2554,4045.4226
