,Date,Mape_M_1,Mape_M_2,Mape_M_3,Mape_M_4
0,2023-08-14,3.194410699659062,1.942866218107804,2.22011277745152,1.285696323595642
1,2023-08-15,1.889671305443208,1.5347468563178956,1.189387491896431,1.7545461521142736
2,2023-08-16,2.143324985295254,1.294439608447205,1.994363826535681,4.52076668605983
3,2023-08-17,2.8221891296363424,4.135591602748004,5.7797677453024034,6.376590989787223
4,2023-08-18,2.4963175789414493,5.0334469809925375,4.254502335590273,3.492071457573404
5,2023-08-19,4.041915927780651,5.22594415377951,3.0389505476258623,1.7526734583870205
6,2023-08-20,7.817081110098842,7.004251438656676,3.4662841918393443,2.699183068552273
7,2023-08-21,2.783714430496824,5.693451320127874,3.418664483673421,3.5892543384967155
8,2023-08-22,5.0493652917448655,2.9522854865724164,3.849065258176569,3.619897973640587
9,2023-08-23,2.766485285091313,1.730017843227194,2.255785489861997,2.3460131813996625
10,2023-08-24,3.0399017150303558,1.650929170956417,1.0438151167936496,1.4901528079296706
11,2023-08-25,4.185434451041497,3.620047810255764,3.663103520713956,4.720184425228041
12,2023-08-26,4.922165215245586,6.971449568841591,3.281238497490085,6.977103519277697
13,2023-08-27,8.070608981556544,3.902490085807704,2.6061970520760527,5.486183853321756
14,2023-08-28,3.076160557159395,3.909316621832859,1.8489644278615451,5.226849510247074
15,2023-08-29,2.6343645437246126,3.956776297354867,1.2649978189901885,3.7244344243989143
16,2023-08-30,6.579493872097261,3.685827574692783,4.25526823509342,1.755333758110968
17,2023-08-31,6.2574060373737375,2.957119916306445,1.590262934878708,2.2876916844577657
18,2023-09-01,2.4827012384755496,3.792340240386295,3.1769217088649357,3.4404216183037044
19,2023-09-02,8.213840845967653,8.43469454583058,5.964776053637886,5.4939997765587005
20,2023-09-03,4.967216891943846,5.97117898028498,3.627142258569709,4.253632610217775
21,2023-09-04,1.6061793823312596,1.383890416188468,1.034184709398603,4.0149721646527965
