,Date,Mape_M_1,Mape_M_2,Mape_M_3,Mape_M_4
0,2023-08-14,4.383048756357825,1.96767736467197,2.676176808514907,1.9813243819445547
1,2023-08-15,1.6739254977321865,1.2862060721875803,1.3060911296050075,1.2426845261418478
2,2023-08-16,2.1997214632409308,1.3871371591531567,1.905487328021485,4.193446669437146
3,2023-08-17,3.9970412522755896,3.4652955141409856,5.446760276254981,8.122289215517712
4,2023-08-18,2.1961902536780933,5.813860903038481,4.375358404902591,5.130290252219849
5,2023-08-19,3.8460283774203816,5.871633693704795,3.1596252920409884,1.3644416983362015
6,2023-08-20,8.026766248408224,7.8106429747845665,3.5256706814573056,2.923487107478379
7,2023-08-21,3.086953612968767,5.350076347696344,3.0673801167673256,3.580003087609037
8,2023-08-22,5.1966375973160766,2.642487582202547,3.0734183489675715,2.9949727340457644
9,2023-08-23,2.05210982332084,1.5332410092995317,1.947923162337564,1.6827080153031753
10,2023-08-24,3.00075587242978,1.6085463898612389,0.8812158884473993,1.9847515184096949
11,2023-08-25,5.604330035947696,3.306725996865984,3.9500082450448177,5.25241177183911
12,2023-08-26,4.845609135269604,7.301532821460714,2.818707876202758,7.788332474101386
13,2023-08-27,8.43677820404537,5.24739108103905,2.6266576028284154,6.441939895361394
14,2023-08-28,3.2562730687966237,2.982620299476155,1.3525770553166596,5.437612494219614
15,2023-08-29,2.3855275904343265,3.49605665671276,1.1245999911464333,4.544023184643858
16,2023-08-30,6.995152478291152,3.612039524591977,4.218404276046293,2.595423727138436
17,2023-08-31,6.043415059614024,3.7922362852271383,1.4169634799230535,1.0169069109683773
18,2023-09-01,2.434837941494392,3.675437600309553,3.3032316740979,3.844957394830545
19,2023-09-02,9.89176592263816,8.753113132928519,5.939659069156686,6.845285202980304
20,2023-09-03,6.159181142377388,7.284252986908952,4.823981340190189,5.117614873326623
21,2023-09-04,1.5808290509608005,1.8059975669935455,1.1405653692571964,4.367976713168079
22,2023-09-05,4.94149410074084,2.3204123539774257,1.1589964022873065,4.229677766069071
0,2023-07-15,7.230515270363584,6.432073005433027,8.759936317351125,8.580326409480008
1,2023-07-16,2.679430497480259,2.777468125936124,0.808192541374702,3.221437601604602
2,2023-07-17,6.784358078449398,4.479967972701729,1.5884583380203103,1.8538285069805471
3,2023-07-18,7.637158277264812,6.488392789021208,2.463257260235728,4.637830321550441
4,2023-07-19,8.478793496111168,6.572055189533773,5.671067211227901,4.924509407327843
5,2023-07-20,6.705118875910286,6.553097730731815,6.490354802255262,6.245309343500774
6,2023-07-21,3.441609553343908,3.969368698044986,3.854795759657823,1.940538723709156
7,2023-07-22,6.91243393612692,5.622241419370918,9.811374243588244,6.346754826746159
8,2023-07-23,2.410034086526029,3.0613394753555583,2.076412494819822,1.4978875776905944
9,2023-07-24,12.619835694732345,4.375682206472501,2.1176639948618097,2.2350321780866422
10,2023-07-25,7.622802660778278,5.551653555576289,2.514603681281289,2.7118909565065783
11,2023-07-26,2.0531077730547587,4.1259698090636405,3.4359003985642342,2.24328185072947
12,2023-07-27,3.825334405826111,5.814609702265916,5.204999214833075,5.002904665676911
13,2023-07-28,1.6046003352113591,2.31900203412292,3.6115662192517446,4.456916690563214
14,2023-07-29,3.801944109176431,3.7369270369620073,6.535737463209918,4.884507706807547
15,2023-07-30,3.935839761363072,2.475027898979296,1.0954433713482692,2.073569271406597
16,2023-07-31,3.2544538504388454,3.445722610876901,1.5564724986020315,2.0185278426814386
17,2023-08-01,2.8247751978191817,2.948534300164056,1.4544968609353204,1.967936728995109
18,2023-08-02,2.9847608020796166,2.523293916272257,1.94743739523698,1.0650948637525033
19,2023-08-03,6.004810068453811,3.913329418804052,3.40398728226085,2.916789565623634
20,2023-08-04,4.786664225681159,5.416473667428919,5.510689072972656,6.128088251968957
21,2023-08-05,7.012176012224598,7.526572499624273,11.69856474674183,8.842940892372326
22,2023-08-06,2.340214592803852,3.1935391705533696,4.5343884238018015,5.352354975196677
0,2023-06-16,0.977222402112268,3.3358180688739947,2.7904106699579216,3.847225620345213
1,2023-06-17,2.244144807820279,3.933755721813576,3.2479757632815223,5.006759144137387
2,2023-06-18,1.0456984275923369,1.8001902738741884,1.8239578746560092,1.595299722307348
3,2023-06-19,2.2144885242661507,3.0541523309787584,3.770659028398318,2.495142015637111
4,2023-06-20,3.402382676190028,2.7765704285432347,2.9890303237201654,2.2145694083665983
5,2023-06-21,2.870777797347305,2.4517062573681,2.3660121392959725,2.5790162583998533
6,2023-06-22,2.467347996746032,3.179205280608619,3.719607185677945,3.1961484440806265
7,2023-06-23,4.650184666455634,6.880363717985716,3.834316127039062,7.277767455226945
