,Date,Mape_M_1,Mape_M_2,Mape_M_3,Mape_M_4
0,2023-08-14,3.685045838991168,1.8843489480115572,2.3176609114309725,1.4889842825059438
1,2023-08-15,2.2176150207606145,1.438739128587205,1.2734147051006943,1.4657549059908008
2,2023-08-16,2.4130230395269003,1.4418256658195483,2.186989786247089,4.7661840023439765
3,2023-08-17,4.251074880908984,3.902790266035841,5.963195327647647,6.8006146646369965
4,2023-08-18,1.773108432710369,5.220129411149346,4.791333118265121,4.392222938608744
5,2023-08-19,4.126428487538978,5.529559465342147,3.1559342055699866,1.6629208956147046
6,2023-08-20,8.245031147760253,7.5518106872496755,3.5579929853614587,2.718583651090659
7,2023-08-21,2.70035517539371,5.607463410714362,3.407582287453835,3.6053866570007695
8,2023-08-22,4.664811351618472,2.8059386048484374,3.435920832332557,3.3480323103050944
9,2023-08-23,2.347511948091678,1.6423245167755816,2.1502734879306065,1.818183222283642
10,2023-08-24,3.241385192378981,1.5820455751471465,0.9568251613558424,1.8870638750448812
11,2023-08-25,5.404530538570088,3.414102479693778,4.067549337758852,4.9169628988052905
12,2023-08-26,4.936900720307919,7.016190412894817,2.9563435077542364,7.204280435013531
13,2023-08-27,8.33470399162108,4.350264411146837,2.6068381041885136,5.693387483058354
14,2023-08-28,3.2840177468989484,3.440789359541564,1.6647917692885223,4.9240618535794365
15,2023-08-29,2.2770978763818563,3.702958981086776,1.2602316434701464,4.15345187299782
16,2023-08-30,5.980246174632394,3.741991166776748,4.166382776799002,2.1544126609069143
17,2023-08-31,5.217080828135132,3.293833567943815,1.4442819062875714,1.9642876453586413
18,2023-09-01,2.454658273029148,3.785482610138119,3.5619833690093894,3.7373625649043873
19,2023-09-02,9.103647165747454,9.07654416994087,6.512804618897998,6.281209134642775
20,2023-09-03,5.848553165699185,6.638095014892252,4.096922440360032,4.560197911415085
21,2023-09-04,1.823726277772612,1.5800061364954987,0.9325051886783352,3.7530000047071743
0,2023-07-15,7.907716995682403,5.914857642418969,8.034577036197726,8.569554952602848
1,2023-07-16,2.336030338333293,2.6560072136134374,1.3071612457087605,3.255232051055156
2,2023-07-17,7.1472035818829145,4.091112574846272,1.6206417015248595,2.3964140033596064
3,2023-07-18,8.371924463909236,6.197923974106274,2.76882455108538,4.716432804029336
4,2023-07-19,8.968041225415835,6.361025624900392,4.989694519425735,4.529653371543007
5,2023-07-20,6.943927023899614,6.46959207922272,5.244140997848362,6.00888797710477
6,2023-07-21,3.073352082886019,3.677188763883025,3.456659647138174,2.435423291459143
7,2023-07-22,7.544557482385121,4.756045260728575,9.484819528650927,6.7267502502996415
8,2023-07-23,2.972410245643466,2.970193047888686,2.1358915374392717,2.0578469179961085
9,2023-07-24,12.859162999764404,3.9820743015252034,2.396356084981004,2.3756683806811525
10,2023-07-25,7.402474692095676,5.11981610155603,2.381845945579791,2.6953505857421107
11,2023-07-26,2.6879476335171737,3.771578758792965,3.2781972686342344,2.2467735171300465
12,2023-07-27,4.186398266140471,5.441459465928356,5.474585668446848,5.175030019922095
13,2023-07-28,1.5460590408646062,1.946974137424777,3.185860809866528,4.685393615590206
14,2023-07-29,4.112518523206301,3.420970427896993,6.15724596931966,4.749508735784849
15,2023-07-30,3.438223125228843,2.421912310050368,1.1669542765738767,2.258113215453108
16,2023-07-31,3.3429117501048933,3.0183041102728763,1.809967214044693,1.9063172521042957
17,2023-08-01,3.1561156826812007,2.5680922371711943,1.2208890348856944,1.5723051325448
18,2023-08-02,3.3988521049169864,2.1110922610042397,2.0215289052349017,0.9990938176458684
19,2023-08-03,6.5629727716177495,3.552849522895416,3.3676752022640914,3.204090570476973
20,2023-08-04,5.196050720183916,4.990666657734628,5.1298403627621605,6.303959889739147
