,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
6,2022-10-27 00:00:00,2819,2869.4028,2895.2566,2882.5107,2872.699
7,2022-10-27 01:00:00,2685,2744.6152,2777.4485,2755.2466,2754.6162
8,2022-10-27 02:00:00,2574,2630.5374,2671.9282,2647.7803,2645.3022
9,2022-10-27 03:00:00,2484,2533.607,2585.8682,2560.8467,2553.4504
10,2022-10-27 04:00:00,2412,2463.5276,2524.7915,2489.8228,2487.9192
11,2022-10-27 05:00:00,2380,2431.2651,2487.2595,2455.3926,2451.7056
12,2022-10-27 06:00:00,2384,2423.7537,2461.1536,2450.1377,2441.322
13,2022-10-27 07:00:00,2376,2410.6787,2462.3396,2429.6187,2411.5156
14,2022-10-27 08:00:00,2457,2467.4395,2540.1787,2461.034,2470.9346
15,2022-10-27 09:00:00,2567,2598.6128,2659.0938,2582.666,2600.425
16,2022-10-27 10:00:00,2646,2711.3132,2763.9617,2701.1353,2706.9219
17,2022-10-27 11:00:00,2727,2804.0085,2847.044,2792.99,2792.2468
18,2022-10-27 12:00:00,2829,2887.8203,2920.9678,2870.8496,2864.63
19,2022-10-27 13:00:00,2916,2970.884,3003.0737,2948.9978,2942.414
20,2022-10-27 14:00:00,3041,3064.8853,3097.4211,3037.1729,3039.7627
21,2022-10-27 15:00:00,3135,3161.7258,3172.8901,3120.5593,3130.6196
22,2022-10-27 16:00:00,3172,3209.5051,3184.5876,3149.9844,3160.9487
23,2022-10-27 17:00:00,3110,3176.3406,3122.9734,3100.1084,3111.6794
24,2022-10-27 18:00:00,3029,3100.4287,3065.8882,3039.6226,3044.6746
25,2022-10-27 19:00:00,3148,3121.2058,3117.0227,3090.2793,3098.3643
26,2022-10-27 20:00:00,3150,3128.0522,3117.4692,3083.8005,3096.4297
27,2022-10-27 21:00:00,3127,3111.8313,3121.1174,3075.2778,3101.5806
28,2022-10-27 22:00:00,3089,3077.2297,3073.636,3040.3442,3061.8784
29,2022-10-27 23:00:00,2990,3001.4258,2981.3513,2962.4854,2978.282
