,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
11,2023-04-12 00:00:00,2733,2725.0693,2739.8887,2729.5159,2730.56
12,2023-04-12 01:00:00,2628,2612.4556,2614.6025,2604.5127,2608.8853
13,2023-04-12 02:00:00,2529,2512.7917,2508.2551,2497.1687,2500.7563
14,2023-04-12 03:00:00,2441,2428.379,2420.1724,2411.3772,2411.4746
15,2023-04-12 04:00:00,2362,2365.2588,2350.8535,2347.1106,2346.1833
16,2023-04-12 05:00:00,2346,2339.5698,2312.5059,2315.0847,2320.1917
17,2023-04-12 06:00:00,2331,2325.083,2305.89,2302.9836,2317.1565
18,2023-04-12 07:00:00,2297,2310.7236,2301.9197,2288.653,2302.5195
19,2023-04-12 08:00:00,2406,2397.519,2373.868,2364.9048,2379.4321
20,2023-04-12 09:00:00,2522,2523.9944,2505.4956,2493.476,2500.403
21,2023-04-12 10:00:00,2583,2633.9558,2612.622,2598.1362,2601.3496
22,2023-04-12 11:00:00,2661,2723.589,2696.5554,2684.0835,2682.9717
23,2023-04-12 12:00:00,2745,2801.4282,2766.1306,2756.2886,2751.5925
24,2023-04-12 13:00:00,2816,2879.6316,2831.7717,2828.8281,2817.8572
25,2023-04-12 14:00:00,2907,2966.912,2906.2793,2915.6643,2890.521
26,2023-04-12 15:00:00,2991,3051.0564,2984.9956,3000.4863,2965.886
27,2023-04-12 16:00:00,3054,3101.534,3033.5278,3043.903,3015.316
28,2023-04-12 17:00:00,3044,3095.4668,3015.2354,3026.562,2999.4238
29,2023-04-12 18:00:00,2977,3019.1301,2925.2454,2942.0806,2915.2996
30,2023-04-12 19:00:00,2927,2920.5823,2859.3455,2870.7446,2835.5771
31,2023-04-12 20:00:00,3001,2975.3914,2918.8325,2952.0164,2905.7668
32,2023-04-12 21:00:00,2944,3003.6184,2929.01,2975.5193,2923.2654
33,2023-04-12 22:00:00,2913,2989.23,2911.5374,2957.9658,2897.0452
34,2023-04-12 23:00:00,2857,2921.1172,2841.6929,2876.8694,2823.477
