,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
7,2022-11-01 00:00:00,2656,2706.6396,2714.4119,2698.678,2677.537
8,2022-11-01 01:00:00,2533,2587.06,2607.1116,2581.5547,2565.1409
9,2022-11-01 02:00:00,2450,2481.9668,2513.5806,2486.0762,2466.1174
10,2022-11-01 03:00:00,2373,2394.9365,2440.0159,2412.5234,2388.7803
11,2022-11-01 04:00:00,2309,2332.298,2391.0312,2353.8403,2338.03
12,2022-11-01 05:00:00,2289,2303.5198,2366.4495,2329.3728,2316.8945
13,2022-11-01 06:00:00,2299,2305.567,2359.5159,2339.4897,2326.0212
14,2022-11-01 07:00:00,2298,2315.2515,2376.3057,2344.4177,2322.4158
15,2022-11-01 08:00:00,2342,2359.5288,2442.1042,2378.9304,2374.3127
16,2022-11-01 09:00:00,2446,2478.1255,2542.2788,2483.211,2493.0293
17,2022-11-01 10:00:00,2510,2591.4204,2637.3604,2590.6582,2598.5032
18,2022-11-01 11:00:00,2598,2678.2175,2712.7708,2671.596,2680.8848
19,2022-11-01 12:00:00,2678,2750.814,2774.2214,2734.8752,2743.75
20,2022-11-01 13:00:00,2751,2817.1863,2835.7278,2792.0715,2801.2031
21,2022-11-01 14:00:00,2837,2888.8042,2906.139,2852.7842,2868.6802
22,2022-11-01 15:00:00,2914,2966.4915,2968.5461,2914.629,2930.126
23,2022-11-01 16:00:00,2959,3006.7815,2985.4546,2945.8345,2943.0503
24,2022-11-01 17:00:00,2936,2972.7725,2941.8496,2916.0952,2893.5513
25,2022-11-01 18:00:00,2860,2916.671,2900.3064,2876.5732,2856.357
26,2022-11-01 19:00:00,2889,2962.3923,2943.3142,2929.8955,2907.369
27,2022-11-01 20:00:00,2871,2950.3142,2934.038,2916.5967,2891.6052
28,2022-11-01 21:00:00,2850,2931.524,2924.65,2899.1365,2892.0247
29,2022-11-01 22:00:00,2792,2885.3977,2875.7283,2860.1587,2840.898
30,2022-11-01 23:00:00,2724,2796.6404,2788.2168,2781.869,2749.3845
