,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
8,2023-08-01 00:00:00,5046,4814.6733,4925.575,4983.9043,5029.685
9,2023-08-01 01:00:00,4831,4625.982,4762.6553,4811.861,4840.881
10,2023-08-01 02:00:00,4662,4459.7095,4602.0415,4646.9316,4654.8657
11,2023-08-01 03:00:00,4505,4317.387,4452.451,4495.7217,4477.926
12,2023-08-01 04:00:00,4344,4191.0015,4320.295,4368.337,4318.831
13,2023-08-01 05:00:00,4205,4077.0623,4202.025,4253.279,4185.752
14,2023-08-01 06:00:00,4022,3940.125,4052.7104,4097.3364,4025.4053
15,2023-08-01 07:00:00,3887,3849.07,3897.0007,3986.3662,3903.346
16,2023-08-01 08:00:00,4042,3973.5393,3968.9883,4120.1016,4035.0771
17,2023-08-01 09:00:00,4215,4181.651,4154.3735,4319.5474,4238.1006
18,2023-08-01 10:00:00,4429,4369.3833,4323.495,4497.759,4412.8296
19,2023-08-01 11:00:00,4640,4544.0005,4486.22,4679.156,4584.676
20,2023-08-01 12:00:00,4861,4730.627,4672.8574,4889.714,4781.608
21,2023-08-01 13:00:00,5102,4955.762,4893.1177,5137.455,5020.5864
22,2023-08-01 14:00:00,5359,5190.0303,5114.9814,5395.3213,5259.9185
23,2023-08-01 15:00:00,5551,5329.64,5280.9927,5581.888,5408.7915
24,2023-08-01 16:00:00,5623,5353.844,5351.2354,5629.926,5445.9175
25,2023-08-01 17:00:00,5619,5280.2905,5312.518,5535.028,5386.3535
26,2023-08-01 18:00:00,5461,5112.475,5165.5044,5347.954,5202.1006
27,2023-08-01 19:00:00,5171,4909.3765,4960.7515,5115.8643,4957.622
28,2023-08-01 20:00:00,4995,4919.1616,4863.6465,5114.3794,4910.204
29,2023-08-01 21:00:00,5009,5045.9663,4959.0127,5174.854,5105.516
30,2023-08-01 22:00:00,5000,5034.5557,5032.6797,5110.3706,5183.1846
31,2023-08-01 23:00:00,4998,4903.856,4991.647,4954.8423,5108.1113
