,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
3,2023-08-19 00:00:00,4415,4493.4326,4326.3384,4365.5,4409.5103
4,2023-08-19 01:00:00,4197,4302.269,4114.481,4199.879,4220.9697
5,2023-08-19 02:00:00,4035,4115.5767,3922.47,4044.4746,4046.7844
6,2023-08-19 03:00:00,3912,3946.2524,3758.452,3902.9077,3897.7107
7,2023-08-19 04:00:00,3711,3803.7517,3620.818,3783.3914,3775.824
8,2023-08-19 05:00:00,3597,3691.6133,3503.7747,3687.6008,3664.9526
9,2023-08-19 06:00:00,3477,3563.6904,3373.457,3580.452,3513.1648
10,2023-08-19 07:00:00,3326,3436.8545,3266.6636,3452.495,3415.2207
11,2023-08-19 08:00:00,3324,3518.323,3337.1384,3474.2373,3490.215
12,2023-08-19 09:00:00,3474,3677.2832,3460.4338,3591.43,3608.0579
13,2023-08-19 10:00:00,3621,3822.4062,3566.2239,3698.2322,3717.8938
14,2023-08-19 11:00:00,3753,3968.498,3664.8674,3791.8984,3815.869
15,2023-08-19 12:00:00,3865,4137.7754,3765.8357,3887.4001,3912.2612
16,2023-08-19 13:00:00,3988,4330.7266,3874.1301,3987.8838,4021.4836
17,2023-08-19 14:00:00,4112,4510.162,3975.713,4073.0063,4129.8716
18,2023-08-19 15:00:00,4176,4642.963,4035.9915,4103.498,4197.293
19,2023-08-19 16:00:00,4242,4695.5117,4029.7246,4070.3733,4202.624
20,2023-08-19 17:00:00,4229,4631.075,3952.3777,3990.5356,4141.3037
21,2023-08-19 18:00:00,4124,4450.5703,3821.4722,3925.5752,4036.9302
22,2023-08-19 19:00:00,4060,4352.8706,3781.0986,4003.2776,4043.7983
23,2023-08-19 20:00:00,4196,4414.1816,3881.5374,4065.682,4128.195
24,2023-08-19 21:00:00,4319,4425.1597,3945.6792,4057.0007,4133.4653
25,2023-08-19 22:00:00,4298,4385.346,3937.1511,4001.8896,4071.7014
26,2023-08-19 23:00:00,4236,4287.179,3857.4539,3896.8933,3955.9128
