,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
6,2023-07-04 00:00:00,4698,4691.2334,4878.4316,4613.333,4628.838
7,2023-07-04 01:00:00,4506,4492.6763,4684.2637,4415.477,4429.7827
8,2023-07-04 02:00:00,4308,4319.7188,4485.626,4244.7476,4262.8022
9,2023-07-04 03:00:00,4152,4165.687,4300.5903,4103.206,4108.8345
10,2023-07-04 04:00:00,3991,4030.2566,4137.6265,3976.3171,3970.9233
11,2023-07-04 05:00:00,3860,3914.6953,4003.8572,3851.3096,3860.599
12,2023-07-04 06:00:00,3679,3783.9294,3874.4668,3751.0051,3715.9685
13,2023-07-04 07:00:00,3580,3672.7542,3730.4922,3675.4338,3592.3533
14,2023-07-04 08:00:00,3687,3756.8665,3760.1255,3803.8628,3715.762
15,2023-07-04 09:00:00,3914,3923.2515,3926.1309,4011.8352,3909.7812
16,2023-07-04 10:00:00,4119,4077.9539,4103.0327,4197.338,4074.1086
17,2023-07-04 11:00:00,4301,4223.2876,4287.27,4368.403,4237.919
18,2023-07-04 12:00:00,4475,4384.79,4499.4688,4551.2275,4431.9688
19,2023-07-04 13:00:00,4659,4588.4463,4748.819,4772.182,4673.6895
20,2023-07-04 14:00:00,4936,4803.5674,5000.057,5007.141,4936.3945
21,2023-07-04 15:00:00,5158,4931.0835,5187.93,5187.884,5110.367
22,2023-07-04 16:00:00,5289,4940.902,5274.5586,5272.837,5160.643
23,2023-07-04 17:00:00,5281,4855.9556,5255.707,5249.0225,5097.125
24,2023-07-04 18:00:00,5129,4686.745,5140.6255,5109.528,4910.6685
25,2023-07-04 19:00:00,4860,4461.9487,4968.459,4911.6494,4706.5464
26,2023-07-04 20:00:00,4806,4378.895,4900.5186,4869.2554,4768.089
27,2023-07-04 21:00:00,4980,4499.5703,4986.2637,5055.0005,4917.628
28,2023-07-04 22:00:00,5064,4568.0967,4994.605,5116.1143,4943.7593
29,2023-07-04 23:00:00,5027,4487.224,4913.2817,5019.4844,4843.22
