,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
4,2022-12-15 00:00:00,2171,2222.4973,2202.9924,2201.1355,2191.933
5,2022-12-15 01:00:00,2094,2138.8967,2118.5872,2115.783,2102.2302
6,2022-12-15 02:00:00,2037,2071.925,2053.1338,2052.0083,2036.9814
7,2022-12-15 03:00:00,2010,2027.6825,2004.0488,2006.2694,1992.1185
8,2022-12-15 04:00:00,1992,2003.2615,1971.9979,1977.8057,1973.4591
9,2022-12-15 05:00:00,2012,1998.892,1971.0494,1974.9141,1987.7825
10,2022-12-15 06:00:00,2069,2030.1003,2007.84,2009.1992,2033.6115
11,2022-12-15 07:00:00,2131,2090.684,2055.9397,2058.7598,2070.5684
12,2022-12-15 08:00:00,2183,2147.0967,2100.7402,2108.7595,2130.7454
13,2022-12-15 09:00:00,2233,2217.96,2159.7068,2184.5999,2209.6326
14,2022-12-15 10:00:00,2262,2274.9363,2219.5115,2243.5994,2259.0132
15,2022-12-15 11:00:00,2267,2307.6638,2260.6863,2286.6665,2290.1338
16,2022-12-15 12:00:00,2292,2322.9695,2283.1716,2311.306,2309.397
17,2022-12-15 13:00:00,2308,2327.9575,2293.6333,2320.9497,2319.9053
18,2022-12-15 14:00:00,2323,2330.7737,2300.2996,2331.2014,2329.1233
19,2022-12-15 15:00:00,2338,2339.838,2309.0522,2344.3755,2343.263
20,2022-12-15 16:00:00,2366,2355.2322,2317.861,2346.6106,2353.222
21,2022-12-15 17:00:00,2337,2369.0374,2331.524,2338.967,2352.3008
22,2022-12-15 18:00:00,2429,2439.133,2392.2668,2394.721,2413.5063
23,2022-12-15 19:00:00,2513,2504.8481,2445.377,2461.3657,2480.5464
24,2022-12-15 20:00:00,2497,2478.2854,2424.622,2443.5728,2463.8945
25,2022-12-15 21:00:00,2468,2452.1763,2387.8823,2407.0479,2429.2415
26,2022-12-15 22:00:00,2406,2392.3708,2331.331,2338.771,2353.0452
27,2022-12-15 23:00:00,2321,2307.0312,2255.3357,2248.4048,2264.2705
