,Date,Model,MAPE,File
197,2023-08-20,Mape_M_1,7.618257808025063,Mape_[6].csv
198,2023-08-22,Mape_M_1,5.204334804211552,Mape_[6].csv
199,2023-08-27,Mape_M_1,7.395072083437625,Mape_[6].csv
200,2023-08-30,Mape_M_1,6.052815513103612,Mape_[6].csv
201,2023-08-31,Mape_M_1,6.061455533408413,Mape_[6].csv
202,2023-09-02,Mape_M_1,8.144239063204713,Mape_[6].csv
203,2023-07-15,Mape_M_1,6.878685489427173,Mape_[6].csv
204,2023-07-17,Mape_M_1,6.667577133165368,Mape_[6].csv
205,2023-07-18,Mape_M_1,6.711778443863457,Mape_[6].csv
206,2023-07-19,Mape_M_1,7.3230854796290865,Mape_[6].csv
207,2023-07-20,Mape_M_1,5.907811140164066,Mape_[6].csv
208,2023-07-22,Mape_M_1,6.552120257618023,Mape_[6].csv
209,2023-07-24,Mape_M_1,10.701764087380615,Mape_[6].csv
210,2023-08-03,Mape_M_1,5.575068230652175,Mape_[6].csv
211,2023-08-05,Mape_M_1,5.624630895836061,Mape_[6].csv
212,2023-07-06,Mape_M_1,5.218164255084065,Mape_[6].csv
213,2023-05-27,Mape_M_1,5.052665105929357,Mape_[6].csv
214,2023-05-01,Mape_M_1,7.646536170201947,Mape_[6].csv
215,2022-11-21,Mape_M_1,6.444448196273202,Mape_[6].csv
216,2022-10-15,Mape_M_1,5.476317476887433,Mape_[6].csv
217,2022-10-23,Mape_M_1,5.598411687578222,Mape_[6].csv
218,2022-09-24,Mape_M_1,5.049260353344833,Mape_[6].csv
219,2022-09-28,Mape_M_1,5.046494940037957,Mape_[6].csv
220,2023-08-20,Mape_M_2,6.888657188459148,Mape_[6].csv
221,2023-08-21,Mape_M_2,5.607528962208171,Mape_[6].csv
222,2023-08-26,Mape_M_2,6.799032191338399,Mape_[6].csv
223,2023-09-02,Mape_M_2,8.105009602919306,Mape_[6].csv
224,2023-09-03,Mape_M_2,5.340055749043621,Mape_[6].csv
225,2023-07-15,Mape_M_2,5.453518205992599,Mape_[6].csv
226,2023-07-18,Mape_M_2,5.764339252815306,Mape_[6].csv
227,2023-07-19,Mape_M_2,6.043893442974168,Mape_[6].csv
228,2023-07-20,Mape_M_2,6.274271205764287,Mape_[6].csv
229,2023-08-04,Mape_M_2,5.040411541221544,Mape_[6].csv
230,2023-08-05,Mape_M_2,6.617726904016736,Mape_[6].csv
231,2023-06-23,Mape_M_2,5.45612076197472,Mape_[6].csv
232,2023-06-27,Mape_M_2,5.080894859098364,Mape_[6].csv
233,2023-06-30,Mape_M_2,7.019968214254262,Mape_[6].csv
234,2023-07-01,Mape_M_2,6.99164833694285,Mape_[6].csv
235,2023-05-01,Mape_M_2,7.304649679657389,Mape_[6].csv
236,2022-09-22,Mape_M_2,5.921972082022772,Mape_[6].csv
237,2022-09-25,Mape_M_2,5.310833444889268,Mape_[6].csv
238,2022-09-27,Mape_M_2,6.386079659214021,Mape_[6].csv
239,2023-08-17,Mape_M_3,5.47381317120104,Mape_[6].csv
240,2023-09-02,Mape_M_3,5.832683300582762,Mape_[6].csv
241,2023-07-15,Mape_M_3,7.552542052318785,Mape_[6].csv
242,2023-07-22,Mape_M_3,9.652463262067553,Mape_[6].csv
243,2023-07-27,Mape_M_3,5.043799276598739,Mape_[6].csv
244,2023-07-29,Mape_M_3,5.952292232013808,Mape_[6].csv
245,2023-08-05,Mape_M_3,9.81192889130318,Mape_[6].csv
246,2022-09-22,Mape_M_3,5.500175999751573,Mape_[6].csv
247,2023-08-17,Mape_M_4,6.324713510701287,Mape_[6].csv
248,2023-08-26,Mape_M_4,6.438285489539002,Mape_[6].csv
249,2023-08-27,Mape_M_4,5.000665603128467,Mape_[6].csv
250,2023-08-28,Mape_M_4,5.055022210101924,Mape_[6].csv
251,2023-09-02,Mape_M_4,5.379157893949305,Mape_[6].csv
252,2023-07-15,Mape_M_4,8.37654898654433,Mape_[6].csv
253,2023-07-20,Mape_M_4,5.85007663110664,Mape_[6].csv
254,2023-07-22,Mape_M_4,6.953202539244753,Mape_[6].csv
255,2023-07-27,Mape_M_4,5.091119313193234,Mape_[6].csv
256,2023-07-29,Mape_M_4,5.12403591588973,Mape_[6].csv
257,2023-08-04,Mape_M_4,6.105169109739458,Mape_[6].csv
258,2023-08-05,Mape_M_4,8.978248276177462,Mape_[6].csv
259,2023-06-23,Mape_M_4,6.085491789540211,Mape_[6].csv
260,2023-06-24,Mape_M_4,7.103603808828744,Mape_[6].csv
261,2023-06-28,Mape_M_4,5.542350562175112,Mape_[6].csv
262,2023-06-29,Mape_M_4,6.743908171786122,Mape_[6].csv
263,2022-09-22,Mape_M_4,5.227680004377305,Mape_[6].csv
264,2022-09-27,Mape_M_4,5.939950329452187,Mape_[6].csv
462,2023-08-20,Mape_M_1,7.391131798091279,Mape_[12].csv
463,2023-09-02,Mape_M_1,7.562826335002058,Mape_[12].csv
464,2023-07-24,Mape_M_1,8.125854366650174,Mape_[12].csv
465,2023-05-01,Mape_M_1,7.253083590000582,Mape_[12].csv
466,2022-11-21,Mape_M_1,5.946590296761983,Mape_[12].csv
467,2022-10-23,Mape_M_1,5.754828592796105,Mape_[12].csv
468,2022-09-24,Mape_M_1,5.406697040424044,Mape_[12].csv
469,2023-08-20,Mape_M_2,5.64250494947477,Mape_[12].csv
470,2023-08-21,Mape_M_2,5.719898792494068,Mape_[12].csv
471,2023-08-26,Mape_M_2,5.218526340324316,Mape_[12].csv
472,2023-09-02,Mape_M_2,6.99899199299742,Mape_[12].csv
473,2023-08-05,Mape_M_2,5.183452894067637,Mape_[12].csv
474,2023-06-30,Mape_M_2,5.554285283027085,Mape_[12].csv
475,2023-05-01,Mape_M_2,6.813757381738464,Mape_[12].csv
476,2022-09-27,Mape_M_2,5.742889982503735,Mape_[12].csv
477,2023-09-02,Mape_M_3,5.527391320791367,Mape_[12].csv
478,2023-07-15,Mape_M_3,6.8978699373448125,Mape_[12].csv
479,2023-07-22,Mape_M_3,9.786716857186027,Mape_[12].csv
480,2023-08-04,Mape_M_3,5.457294279604738,Mape_[12].csv
481,2023-08-05,Mape_M_3,5.384385319958787,Mape_[12].csv
482,2023-08-17,Mape_M_4,5.447727409482036,Mape_[12].csv
483,2023-08-25,Mape_M_4,5.078966407433324,Mape_[12].csv
484,2023-08-26,Mape_M_4,6.069145097894424,Mape_[12].csv
485,2023-07-15,Mape_M_4,7.25969098623206,Mape_[12].csv
486,2023-07-20,Mape_M_4,5.119060580803519,Mape_[12].csv
487,2023-07-22,Mape_M_4,6.535724078201614,Mape_[12].csv
488,2023-07-29,Mape_M_4,5.273978116897146,Mape_[12].csv
489,2023-08-04,Mape_M_4,6.319078977481195,Mape_[12].csv
490,2023-08-05,Mape_M_4,7.13951249125898,Mape_[12].csv
491,2023-06-23,Mape_M_4,5.680027611496202,Mape_[12].csv
492,2023-06-24,Mape_M_4,5.515499990765329,Mape_[12].csv
493,2023-06-27,Mape_M_4,6.0142819708613535,Mape_[12].csv
494,2023-06-28,Mape_M_4,7.0827483374813776,Mape_[12].csv
495,2023-06-29,Mape_M_4,6.978049823551334,Mape_[12].csv
496,2022-09-27,Mape_M_4,5.962147352169031,Mape_[12].csv
694,2023-08-20,Mape_M_1,7.657558438597197,Mape_[7].csv
695,2023-08-22,Mape_M_1,5.053925756944672,Mape_[7].csv
696,2023-08-26,Mape_M_1,5.147486637412832,Mape_[7].csv
697,2023-08-27,Mape_M_1,6.892243840480834,Mape_[7].csv
698,2023-08-30,Mape_M_1,5.497153503693529,Mape_[7].csv
699,2023-08-31,Mape_M_1,5.453587870427832,Mape_[7].csv
700,2023-09-02,Mape_M_1,8.11626805081613,Mape_[7].csv
701,2023-07-15,Mape_M_1,6.7603637524299085,Mape_[7].csv
