,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
8,2023-04-14 00:00:00,2692,2604.1008,2598.5105,2608.568,2590.8027
9,2023-04-14 01:00:00,2581,2503.5005,2492.675,2507.6362,2487.442
10,2023-04-14 02:00:00,2487,2415.7788,2405.1292,2418.1113,2397.7942
11,2023-04-14 03:00:00,2425,2342.3362,2334.529,2346.0916,2325.9983
12,2023-04-14 04:00:00,2365,2288.9812,2281.6973,2293.5652,2278.099
13,2023-04-14 05:00:00,2348,2269.7842,2258.6287,2272.6274,2262.3352
14,2023-04-14 06:00:00,2365,2257.0845,2259.9985,2274.0012,2258.4028
15,2023-04-14 07:00:00,2364,2256.737,2261.1084,2271.2097,2248.0288
16,2023-04-14 08:00:00,2435,2341.3586,2334.105,2342.7073,2326.4084
17,2023-04-14 09:00:00,2506,2442.1057,2441.9497,2447.9158,2436.5483
18,2023-04-14 10:00:00,2565,2523.05,2522.456,2526.6323,2522.253
19,2023-04-14 11:00:00,2619,2583.1785,2585.4463,2586.725,2583.5107
20,2023-04-14 12:00:00,2676,2626.7341,2633.3486,2630.7322,2628.5933
21,2023-04-14 13:00:00,2692,2662.2214,2669.744,2665.156,2668.193
22,2023-04-14 14:00:00,2745,2699.1375,2704.6165,2698.1995,2706.8987
23,2023-04-14 15:00:00,2814,2736.1282,2741.7754,2729.6152,2742.8586
24,2023-04-14 16:00:00,2851,2757.8193,2765.2173,2745.134,2763.552
25,2023-04-14 17:00:00,2874,2747.484,2748.414,2731.325,2743.7214
26,2023-04-14 18:00:00,2839,2689.3242,2680.3513,2676.4822,2676.5457
27,2023-04-14 19:00:00,2793,2625.2869,2624.8428,2629.2969,2638.3467
28,2023-04-14 20:00:00,2852,2701.4314,2697.6243,2689.7197,2712.592
29,2023-04-14 21:00:00,2828,2712.852,2709.1348,2687.655,2699.0964
30,2023-04-14 22:00:00,2775,2677.7913,2680.6648,2654.0,2665.0378
31,2023-04-14 23:00:00,2712,2615.6755,2607.3298,2585.452,2595.7854
